2;FI;Felipe Levin;Germany;Discus 2a;5,901
3;CFM1;Guillaume Girard;France;Discus 2a;5,882
4;CM;Dennis Huybreckx;Belgium;LS 8;5,662
5;S2;Robert Schroder;Germany;LS 8;5,643
6;21;Bert Schmelzer;Belgium;Discus 2a;5,600
7;W8;Gonzalo Riera;Argentina;LS 8;5,477
8;FL;Vladas Motuza;Lithuania;Discus 2a;5,460
9;352;Jeremy Hood;United Kingdom;LS 8;5,337
10;EU;Miloslav Cink;Czech Republic;LS 8;5,333
11;DT;Dmitry Timoshenko;Russia;Discus 2a;5,229
12;AU;Pavel Louzecky;Czech Republic;LS 8;5,133
13;YB;Norbert Alin Scarlat;Romania;Discus 2a;5,087
14;N9;Javier Gaude;Argentina;LS 8;5,085
15;TA;Janne Nordh;Sweden;Discus 2b;4,943
16;PG;Philip Gaisford;USA;Discus 2b;4,935
17;I;Sebastian Kawa;Poland;Discus 2a;4,907
18;PI;Markku Kuusisto;Finland;Discus 2b;4,865
19;XK;Oliver Sevrin;Belgium;LS 8;4,853
20;SR;Robbie Seton;Netherlands;LS 8;4,822
21;SE;Poul Kim Larsen;Denmark;LS 8;4,796
22;IKI;Richard Swanstrom;Sweden;Discus 2b;4,785
23;55;Richard Hood;United Kingdom;LS 8;4,737
24;Y;Lukasz Blaszczyk;Poland;Discus 2a;4,678
25;YA;Victor Alex Pop;Romania;Discus 2a;4,670
26;JB;Marcaida Cristian;Uruguay;LS 8;4,530
27;TC;Samuel Pollak;Slovakia;LS 8;4,519
28;HAL;Tamas Vamosi;Hungary;Discus 2a;4,473
29;2S;Sjaak Selen;Netherlands;Discus 2a;4,449
30;5F;John Buchanan;Australia;LS 8;4,447
31;AX;Mogens Hoelgaard;Denmark;Discus 2a;4,428
32;P2;Romualdas Konteikis;Lithuania;LS 8;4,274
33;B9;Lorenzo Monti;Italy;LAK 19;4,205
34;SI;Dominik Jancik;Slovakia;LS 8;3,944
35;232;Adam Woolley;Australia;LS 8;3,909
36;AJ;Aku Jaakkola;Finland;Discus 2a;3,643
37;G;Luca Monti;Italy;LAK 19;3,521
38;MK;Robert Fletcher;USA;Discus 2a;3,365
39;DI;Arday Daniel;Hungary;Discus 2a;3,068
40;S;Sergey Ryabchinskiy;Russia;Discus 2b;2,591
